;source;search;name;link;compensation_min;compensation_max;compensation_currency
56;https://hh.ru;Data science;Data Science Project Manager;https://hh.ru/vacancy/42920668?query=Data%20science;;;
57;https://hh.ru;Data science;Project manager/ CJE (Customer journey expert) в команду Smart антифрод (Data Science);https://hh.ru/vacancy/42701944?query=Data%20science;;;
58;https://hh.ru;Data science;Data Engineer (Удаленно);https://hh.ru/vacancy/42629247?query=Data%20science;;;
59;https://hh.ru;Data science;Системный аналитик (Data Scientist);https://hh.ru/vacancy/42318838?query=Data%20science;;;
60;https://hh.ru;Data science;Data Scientist / Machine Learning Engineer (на Кипр);https://hh.ru/vacancy/42934086?query=Data%20science;;;
61;https://hh.ru;Data science;Data Scientist​;https://hh.ru/vacancy/42491595?query=Data%20science;;;
62;https://hh.ru;Data science;Data Manager;https://hh.ru/vacancy/42992834?query=Data%20science;;;
63;https://hh.ru;Data science;Research Analyst;https://hh.ru/vacancy/42277209?query=Data%20science;;;
64;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42323623?query=Data%20science;;;
65;https://hh.ru;Data science;Data Analyst;https://hh.ru/vacancy/42948909?query=Data%20science;;;
66;https://hh.ru;Data science;Data scientist risk department;https://hh.ru/vacancy/41588306?query=Data%20science;;;
67;https://hh.ru;Data science;Data analyst;https://hh.ru/vacancy/42490044?query=Data%20science;;;
68;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42476206?query=Data%20science;;;
69;https://hh.ru;Data science;Data scientist/Machine learning engineer в Команду CoreML;https://hh.ru/vacancy/42449951?query=Data%20science;;;
70;https://hh.ru;Data science;Senior data science;https://hh.ru/vacancy/42964530?query=Data%20science;;;
71;https://hh.ru;Data science;Data Engineer в BI Team;https://hh.ru/vacancy/41038879?query=Data%20science;;;
72;https://hh.ru;Data science;Аналитик / Data scientist;https://hh.ru/vacancy/42929375?query=Data%20science;;;
73;https://hh.ru;Data science;Principal Data Engineer (Берлин / Брауншвайг);https://hh.ru/vacancy/42308048?query=Data%20science;;;
